,hotel,office
0,-102.5052193,0
1,-87.46739308,0
2,-78.43474053,0
3,-73.22435089,0
4,-76.17620296,0
5,-81.58627298,0
6,-106.2582585,0
7,-165.7328369,0
8,-232.3122411,0
9,-192.0717137,0
10,-147.9811262,0
11,-135.7822041,0
12,-94.30667482,0
13,-70.54121359,0
14,-72.39591015,0
15,-61.2329138,0
16,-67.41855699,0
17,-90.59848458,0
18,-119.3750287,0
19,-171.851338,0
20,-267.6926861,0
21,-224.7859536,0
22,-198.8979457,0
23,-134.7204098,0
24,-99.14979353,0
25,-81.97214102,0
26,-75.72530289,0
27,-71.81283837,0
28,-75.92926632,0
29,-97.59340796,0
30,-167.5661795,0
31,-223.8785595,0
32,-161.137472,0
33,-132.2149515,0
34,-101.5588604,0
35,-85.56028282,0
36,-84.93158683,0
37,-80.28001092,0
38,-77.96465971,0
39,-84.03419278,0
40,-82.63524852,0
41,-111.8675043,0
42,-156.4342582,0
43,-148.8107076,0
44,-167.3547248,0
45,-205.6137117,0
46,-160.0414698,0
47,-106.437253,0
48,-86.78193844,0
49,-74.57133169,0
50,-69.65833046,0
51,-66.88644096,0
52,-71.81710788,0
53,-93.30479914,0
54,-162.3607784,0
55,-219.2762107,0
56,-156.4427061,0
57,-129.9160659,0
58,-109.8349454,0
59,-80.01256677,0
60,-45.92944179,0
61,-50.68199748,0
62,-50.69778285,0
63,-53.66731025,0
64,-53.31805625,0
65,-80.06977591,0
66,-122.6298695,0
67,-125.5214297,0
68,-145.5601061,0
69,-182.4816057,0
70,-141.8776264,0
71,-90.77162897,0
72,-70.07376687,0
73,-54.86435581,0
74,-47.62070659,0
75,-43.92701204,0
76,-46.88275379,0
77,-68.29105453,0
78,-140.5395846,0
79,-197.2325358,0
80,-143.361723,0
81,-140.4494744,0
82,-138.7751493,0
83,-144.5229149,0
84,-156.0804147,0
85,-161.9860306,0
86,-150.6862506,0
87,-118.9720907,0
88,-92.58599845,0
89,-112.4013366,0
90,-156.2391379,0
91,-153.4844817,0
92,-168.7660537,0
93,-202.4517749,0
