,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0,-128.2103003,-25.17394083,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824,-4.348485824
1,-106.4724029,-19.64806801,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088,-4.516168088
2,-99.22125747,-27.04835993,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871,-4.74699871
3,-97.7974015,-21.77743184,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125,-4.987144125
4,-122.7093249,-32.02787199,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251,-5.156719251
5,-144.84663,-25.04025012,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341,-5.383694341
6,-191.682374,-31.60270645,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428,-5.555544428
7,-404.7917233,-23.79748778,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628,-6.025937628
8,-532.1887082,-27.21229701,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501,-5.634239501
9,-415.4181321,-19.4931279,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325,-5.358818325
10,-350.7985091,-20.7331594,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284,-5.90719284
11,-303.0922808,-14.31276915,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242,-4.808306242
12,-250.8844308,-14.79589192,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147,-4.156312147
13,-255.5891426,-12.13822415,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872,-3.964407872
14,-265.0630239,-16.21413478,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045,-3.877191045
