,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0,-101.8098151,-20.59216851,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523,-0.637703523
1,-101.8098151,-20.28695901,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994,-0.523597994
2,-84.35341579,-20.66797075,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418,-0.478879418
3,-84.35341579,-20.45454137,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474,-0.465607474
4,-84.35341579,-21.30478371,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143,-0.46443143
5,-89.35159579,-20.89025551,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943,-0.517138943
6,-145.8290414,-21.10368488,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362,-0.721931362
7,-198.560913,-20.68915667,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088,-0.997424088
8,-238.5885177,-20.66797075,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555,-0.986366555
9,-234.677413,-20.28695901,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888,-0.855918888
10,-230.9966457,-20.66797075,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993,-0.85757993
11,-226.7017599,-20.28695901,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106,-0.875498106
12,-226.8201143,-20.66797075,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445,-0.855906445
13,-199.5535049,-20.28695901,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631,-0.829067631
14,-191.1503693,-20.66797075,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783,-0.825263783
15,-199.3754153,-20.28695901,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913,-0.886860913
16,-220.7338254,-20.66797075,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265,-1.119716265
17,-188.1171426,-20.28695901,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325,-1.547808325
18,-249.6623538,-20.66797075,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602,-1.800936602
19,-248.5771465,-20.28695901,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525,-1.783831525
20,-269.0801236,-20.66797075,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391,-1.652271391
21,-245.0188368,-20.28695901,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344,-1.507004344
22,-195.9525622,-20.66797075,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599,-1.216902599
23,-135.0225679,-20.28695901,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883,-0.923671883
24,-90.41122174,-26.02880277,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984
25,-83.05979616,-25.64779104,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097
26,-75.15766095,-26.02880277,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818
27,-75.15766095,-25.64779104,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207
28,-75.15766095,-26.02880277,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275
29,-95.40940174,-28.32820705,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251
30,-177.9611082,-30.09572467,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585
31,-234.6409726,-52.05585025,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726
32,-200.7188582,-121.9423651,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254
33,-224.5505186,-113.5937937,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829
34,-217.1743165,-111.6672003,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701
35,-217.3161141,-113.5937937,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346
36,-217.3888333,-113.0494452,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939
37,-199.2912504,-115.1992882,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598
38,-190.9600294,-111.6672003,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211
39,-199.3090863,-111.6672003,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194
40,-220.6961672,-114.5570904,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346
41,-195.2825176,-103.6121768,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395
42,-248.9453352,-66.11390362,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287
43,-251.7150954,-63.54511241,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677
44,-277.0301194,-47.46261634,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021
45,-257.3525405,-46.17822074,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486
46,-195.2355437,-26.80416012,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387
47,-130.6168909,-24.12374411,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038
48,-90.41122174,-24.12374411,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984
49,-83.05979616,-24.12374411,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097
50,-75.15766095,-24.12374411,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818
51,-75.15766095,-24.12374411,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207
52,-75.15766095,-24.12374411,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275
53,-95.40940174,-26.80416012,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251
54,-178.7338046,-30.09572467,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585
55,-234.6409726,-52.05585025,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726
56,-200.7188582,-121.9423651,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254
57,-224.4996516,-113.5937937,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829
58,-217.0467113,-111.6672003,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701
59,-217.0739322,-113.5937937,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346
60,-217.0926281,-113.0494452,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939
61,-199.0331024,-115.1992882,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598
62,-190.7177856,-111.6672003,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211
63,-199.0339629,-111.6672003,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194
64,-220.4854503,-114.5570904,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346
65,-195.2825176,-103.6378669,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395
66,-248.9453352,-66.11390362,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287
67,-251.7150954,-63.54511241,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677
68,-277.0301194,-47.46261634,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021
69,-257.3525405,-46.17822074,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486
70,-195.2355437,-26.80416012,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387
71,-130.6168909,-24.12374411,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038
72,-90.41122174,-24.12374411,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984
73,-83.05979616,-24.12374411,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097
74,-75.15766095,-25.08127481,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818
75,-75.15766095,-24.88976867,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207
76,-75.15766095,-25.08127481,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275
77,-95.40940174,-27.57018468,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251
78,-176.8020636,-30.09572467,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585
79,-235.209686,-52.05585025,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726
80,-201.1080415,-121.9423651,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254
81,-224.5308067,-113.5937937,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829
82,-216.967473,-111.6672003,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701
83,-217.0149735,-113.5937937,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346
84,-217.0514262,-113.0508678,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939
85,-199.0179373,-115.232139,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598
86,-190.6945595,-111.6672003,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211
87,-199.0181963,-111.6672003,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194
88,-220.4857641,-114.5915929,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346
89,-195.2825176,-103.7177665,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395
90,-248.9453352,-66.11390362,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287
91,-251.7150954,-63.54511241,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677
92,-277.0301194,-47.46261634,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021
93,-257.3525405,-46.17822074,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486
94,-195.858773,-26.80416012,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387
95,-130.7431782,-24.12374411,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038
96,-90.41122174,-24.12374411,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984
97,-83.05979616,-24.88976867,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097
98,-75.22617916,-25.08127481,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818
99,-75.32869945,-24.88976867,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207
100,-75.3925068,-25.08127481,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275
101,-95.62712131,-27.57018468,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251
102,-176.8882231,-30.09572467,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585,-0.71130585
103,-234.6567955,-52.05585025,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726,-0.976262726
104,-200.7264063,-121.9423651,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254,-0.953929254
105,-224.5420833,-113.5937937,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829,-0.810887829
106,-217.1702788,-111.6672003,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701,-0.806663701
107,-217.1687697,-113.5937937,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346,-0.823009346
108,-217.1054355,-113.0494452,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939,-0.808095939
109,-199.0177585,-115.1992882,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598,-0.785479598
110,-190.7391965,-111.6672003,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211,-0.786138211
111,-199.076634,-111.6672003,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194,-0.84980194
112,-220.5839558,-114.557927,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346,-1.083798346
113,-195.3957196,-103.6908248,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395,-1.512456395
114,-249.0918395,-66.11390362,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287,-1.766626287
