,commercial
0,-102.5052193
1,-87.46739308
2,-78.43474053
3,-73.22435089
4,-76.17620296
5,-81.58627298
6,-106.2582585
7,-165.7328369
8,-232.3122411
9,-192.0717137
10,-147.9811262
11,-135.7822041
12,-94.30667482
13,-70.54121359
14,-72.39591015
15,-61.2329138
16,-67.41855699
17,-90.59848458
18,-119.3750287
19,-171.851338
20,-267.6926861
21,-224.7859536
22,-198.8979457
23,-134.7204098
24,-99.14979353
25,-81.97214102
26,-75.72530289
27,-71.81283837
28,-75.92926632
29,-97.59340796
30,-167.5661795
31,-223.8785595
32,-161.137472
33,-132.2149515
34,-101.5588604
35,-85.56028282
36,-84.93158683
37,-80.28001092
38,-77.96465971
39,-84.03419278
40,-82.63524852
41,-111.8675043
42,-156.4342582
43,-148.8107076
44,-167.3547248
45,-205.6137117
46,-160.0414698
47,-106.437253
48,-86.78193844
49,-74.57133169
50,-69.65833046
51,-66.88644096
52,-71.81710788
53,-93.30479914
54,-162.3607784
55,-219.2762107
56,-156.4427061
57,-129.9160659
58,-109.8349454
59,-80.01256677
60,-45.92944179
61,-50.68199748
62,-50.69778285
63,-53.66731025
64,-53.31805625
65,-80.06977591
66,-122.6298695
67,-125.5214297
68,-145.5601061
69,-182.4816057
70,-141.8776264
71,-90.77162897
72,-70.07376687
73,-54.86435581
74,-47.62070659
75,-43.92701204
76,-46.88275379
77,-68.29105453
78,-140.5395846
79,-197.2325358
80,-143.361723
81,-140.4494744
82,-138.7751493
83,-144.5229149
84,-156.0804147
85,-161.9860306
86,-150.6862506
87,-118.9720907
88,-92.58599845
89,-112.4013366
90,-156.2391379
91,-153.4844817
92,-168.7660537
93,-202.4517749
94,-154.6698512
95,-90.98927671
96,-68.22280626
97,-54.07264991
98,-45.24835378
99,-43.57973306
100,-49.05177907
101,-70.73184465
102,-141.6356421
103,-195.3135729
104,-145.1967681
105,-145.933348
106,-127.3925917
107,-92.12367658
108,-79.91508373
109,-70.40287225
110,-65.21929083
111,-64.01923491
112,-61.97750525
113,-91.93514998
114,-139.3542946
115,-139.0985823
116,-156.1651045
117,-191.28169
118,-146.6756794
119,-90.86267324
120,-69.06492456
121,-53.74069835
122,-47.97658405
123,-45.27481408
124,-47.08929055
125,-69.76878854
126,-142.7459825
127,-197.9467455
128,-131.093789
129,-99.97587405
130,-66.97700646
131,-47.38059964
132,-44.73088385
133,-46.27650276
134,-44.0240906
135,-46.18606554
136,-47.64675604
137,-80.07537135
138,-130.8566319
139,-116.6937962
140,-129.5658497
141,-162.9598993
142,-119.2453535
143,-64.36749043
144,-42.5583369
145,-29.62741051
146,-20.50205678
147,-15.48654147
148,-18.73419474
149,-24.39058384
150,-69.58120262
151,-136.8713656
