,commercial,domestic
0,-153.3842411,-43.48485824
1,-126.1204709,-45.16168088
2,-126.2696174,-47.4699871
3,-119.5748333,-49.87144125
4,-154.7371969,-51.56719251
5,-169.8868801,-53.83694341
6,-223.2850805,-55.55544428
7,-428.5892111,-60.25937628
8,-559.4010052,-56.34239501
9,-434.91126,-53.58818325
10,-371.5316685,-59.0719284
11,-317.40505,-48.08306242
12,-265.6803227,-41.56312147
13,-267.7273668,-39.64407872
14,-281.2771587,-38.77191045
15,-301.1429289,-40.17286867
16,-285.7657424,-41.72919273
17,-308.255459,-52.27072333
18,-341.6584245,-44.64700694
19,-371.9321402,-42.55638059
20,-369.0179865,-42.35444717
21,-361.0316067,-42.82763423
22,-463.155885,-44.13422985
23,-342.4886239,-45.3568791
24,-158.7100395,-46.93055863
25,-122.9052108,-48.73706485
26,-127.0092549,-49.97968842
27,-118.8908838,-51.14681835
28,-150.534765,-52.13904025
29,-210.799999,-53.84460909
30,-484.2328574,-55.80727453
31,-678.248878,-60.87739934
32,-569.9868783,-58.03976418
33,-491.42179,-56.59710632
34,-429.9651049,-64.14060463
35,-363.6942879,-53.7351372
36,-353.63658,-48.75409468
37,-348.9887332,-47.55251401
38,-350.0086888,-46.7935955
39,-339.6484437,-43.28944714
40,-299.5607277,-43.34507776
41,-350.2169354,-52.13984363
42,-476.6491925,-43.49029164
43,-415.0806694,-41.09582691
44,-412.7926001,-39.87325381
45,-498.5543978,-39.75449767
46,-346.2288979,-41.50607671
47,-261.4730687,-42.41247432
48,-131.5933954,-44.49960694
49,-101.3914936,-45.58291911
50,-99.67576512,-46.48833815
51,-97.27215647,-47.19175242
52,-122.6571849,-47.72824074
53,-189.2501244,-49.84964481
54,-419.4652088,-58.58801441
55,-612.9828263,-60.37422185
56,-520.1068047,-57.46219331
57,-456.5588361,-57.27707109
58,-411.901937,-66.14095339
59,-374.6748213,-59.10226526
60,-383.6161896,-56.60234346
61,-372.5254582,-53.08356077
62,-372.3816401,-53.34147591
63,-378.2967044,-53.47687266
64,-349.396495,-54.5278582
65,-409.9341913,-67.11534302
66,-549.673232,-60.27339675
67,-487.9267268,-58.12321747
68,-484.9552004,-57.81951589
69,-579.6411019,-58.03202069
70,-409.7570307,-59.10821096
71,-323.5783012,-60.26990427
72,-136.560913,-63.05605648
73,-110.8822683,-65.16233304
74,-115.4107737,-67.07075992
75,-112.4151385,-68.41320482
76,-140.7242907,-69.7559732
77,-206.1829749,-71.7695648
78,-439.3859856,-73.84561491
79,-691.2025658,-80.52028473
80,-590.2323131,-73.97623499
81,-483.480693,-67.09945582
82,-425.3738347,-73.11981783
83,-370.0026812,-57.77399885
84,-364.0268011,-48.76394049
85,-347.9445074,-42.8368181
86,-346.5001495,-41.81453648
87,-354.5012058,-42.63508661
88,-328.4984953,-45.82168847
89,-400.9968324,-61.40362354
90,-541.6879917,-54.42227709
91,-479.8541415,-54.22911857
92,-489.5603524,-55.4941798
93,-584.7129411,-57.69574844
94,-417.2536837,-61.39670981
95,-345.9773324,-67.63186183
96,-145.7184274,-70.39742613
97,-119.3011031,-74.30094108
98,-119.5625582,-77.04728911
99,-116.8367946,-78.06739845
100,-144.0450427,-78.98545732
101,-210.015602,-80.62753284
102,-440.300539,-82.48920973
103,-723.1271404,-83.06118767
104,-625.7070312,-79.03343326
105,-505.4612733,-71.97930206
106,-433.9829751,-76.80256646
107,-386.398584,-66.04342719
108,-392.9980532,-60.25593466
109,-391.9905331,-58.63509922
110,-393.90261,-57.32814308
111,-392.5385567,-56.75025176
112,-362.8731683,-58.16553591
113,-427.4084595,-71.11688256
114,-557.2053312,-74.42343601
115,-487.7850198,-63.41556669
116,-484.3867016,-60.0864285
117,-580.3909964,-59.06768616
118,-411.9544892,-59.71069605
119,-326.3947703,-61.04944965
120,-137.7501479,-62.88616347
121,-112.275754,-64.88213764
122,-112.0171208,-65.54353346
123,-116.0038612,-66.00656172
124,-134.3424979,-68.33065626
125,-207.5669074,-70.01745443
126,-433.9695644,-71.08612625
127,-680.1990039,-71.60600311
128,-602.295594,-73.08508653
129,-522.2442315,-73.45319571
130,-477.434042,-85.69765814
131,-430.4152991,-76.94365745
132,-420.9519123,-70.9521455
133,-410.45364,-67.3967795
134,-410.0610745,-65.79252559
135,-406.1827689,-63.94082678
136,-366.3863223,-62.99586448
137,-422.3429066,-61.11244864
138,-543.3165024,-70.08203027
139,-464.5812807,-58.90192676
140,-463.3561731,-55.12837233
141,-548.2818368,-53.02941125
142,-385.3347459,-51.54980949
143,-299.6107084,-52.50230904
144,-140.9832371,-53.46993661
