,commercial,domestic
0,-122.4019836,-6.37703523
1,-122.0967741,-5.23597994
2,-105.0213865,-4.78879418
3,-104.8079572,-4.65607474
4,-105.6581995,-4.6443143
5,-110.2418513,-5.17138943
6,-166.9327263,-7.21931362
7,-219.2500697,-9.97424088
8,-259.2564885,-9.86366555
9,-254.964372,-8.55918888
10,-251.6646165,-8.5757993
11,-246.9887189,-8.75498106
12,-247.4880851,-8.55906445
13,-219.8404639,-8.29067631
14,-211.8183401,-8.25263783
15,-219.6623743,-8.86860913
16,-241.4017962,-11.19716265
17,-208.4041016,-15.47808325
18,-270.3303246,-18.00936602
19,-268.8641055,-17.83831525
20,-289.7480944,-16.52271391
21,-265.3057958,-15.07004344
22,-216.620533,-12.16902599
23,-155.3095269,-9.23671883
24,-116.4400245,-6.3112984
25,-108.7075872,-5.1965097
26,-101.1864637,-4.7626818
27,-100.805452,-4.6424207
28,-101.1864637,-4.61760275
29,-123.7376088,-5.13042251
30,-208.0568329,-7.1130585
31,-286.6968229,-9.76262726
32,-322.6612233,-9.53929254
33,-338.1443123,-8.10887829
34,-328.8415168,-8.06663701
35,-330.9099078,-8.23009346
36,-330.4382785,-8.08095939
37,-314.4905386,-7.85479598
38,-302.6272297,-7.86138211
39,-310.9762866,-8.4980194
40,-335.2532576,-10.83798346
41,-298.8946944,-15.12456395
42,-315.0592388,-17.66626287
43,-315.2602078,-17.4958677
44,-324.4927357,-16.17416021
45,-303.5307612,-14.71397486
46,-222.0397038,-11.88609387
47,-154.740635,-9.08137038
48,-114.5349659,-6.3112984
49,-107.1835403,-5.1965097
50,-99.28140506,-4.7626818
51,-99.28140506,-4.6424207
52,-99.28140506,-4.61760275
53,-122.2135619,-5.13042251
54,-208.8295293,-7.1130585
55,-286.6968229,-9.76262726
56,-322.6612233,-9.53929254
57,-338.0934453,-8.10887829
58,-328.7139116,-8.06663701
59,-330.6677259,-8.23009346
60,-330.1420733,-8.08095939
61,-314.2323906,-7.85479598
62,-302.3849859,-7.86138211
63,-310.7011632,-8.4980194
64,-335.0425407,-10.83798346
65,-298.9203845,-15.12456395
66,-315.0592388,-17.66626287
67,-315.2602078,-17.4958677
68,-324.4927357,-16.17416021
69,-303.5307612,-14.71397486
70,-222.0397038,-11.88609387
71,-154.740635,-9.08137038
72,-114.5349659,-6.3112984
73,-107.1835403,-5.1965097
74,-100.2389358,-4.7626818
75,-100.0474296,-4.6424207
76,-100.2389358,-4.61760275
77,-122.9795864,-5.13042251
78,-206.8977883,-7.1130585
79,-287.2655363,-9.76262726
80,-323.0504066,-9.53929254
81,-338.1246004,-8.10887829
82,-328.6346733,-8.06663701
83,-330.6087672,-8.23009346
84,-330.102294,-8.08095939
85,-314.2500763,-7.85479598
86,-302.3617598,-7.86138211
87,-310.6853966,-8.4980194
88,-335.077357,-10.83798346
89,-299.0002841,-15.12456395
90,-315.0592388,-17.66626287
