,domestic,commercial
0,57.896,57.896
1,60.2706656,60.2706656
2,60.6932845,60.6932845
3,61.1759016,61.1759016
4,61.3895794,61.3895794
5,61.3506332,61.3506332
6,61.380106,61.380106
7,61.52747,61.52747
8,61.664308,61.664308
9,61.7774625,61.7774625
10,61.816935,61.816935
11,61.8243032,61.8243032
12,61.7579894,61.7579894
13,61.8911433,61.8911433
14,62.3806023,62.3806023
15,62.8442726,62.8442726
16,62.9679531,62.9679531
17,62.9526904,62.9526904
18,63.0068993,63.0068993
19,63.1774205,63.1774205
20,63.2795227,63.2795227
21,63.2521551,63.2521551
22,63.1321587,63.1321587
23,62.9037445,62.9037445
24,57.896,57.896
25,62.3606029,62.3606029
26,62.2074496,62.2074496
27,62.0690327,62.0690327
28,61.695886,61.695886
29,61.1006407,61.1006407
30,60.68539,60.68539
31,60.5132899,60.5132899
32,60.532763,60.532763
33,60.8816999,60.8816999
34,61.4211574,61.4211574
35,61.9653516,61.9653516
36,62.4248115,62.4248115
37,62.5932275,62.5932275
38,62.3132359,62.3132359
39,61.6032572,61.6032572
40,61.0406425,61.0406425
41,61.0022226,61.0022226
42,61.1943221,61.1943221
43,61.3095818,61.3095818
44,61.3880005,61.3880005
45,61.5027339,61.5027339
46,61.8143035,61.8143035
47,62.1106104,62.1106104
48,62.3374457,62.3374457
49,62.5869119,62.5869119
50,62.9937418,62.9937418
51,62.9621638,62.9621638
52,62.2216597,62.2216597
53,61.4337886,61.4337886
54,61.201164,61.201164
55,61.2211634,61.2211634
56,61.3774745,61.3774745
57,61.7995671,61.7995671
58,62.3742867,62.3742867
59,62.7358548,62.7358548
60,62.7263814,62.7263814
61,62.374813,62.374813
62,61.9348262,61.9348262
63,61.6132569,61.6132569
64,61.4506302,61.4506302
65,61.3443176,61.3443176
66,61.1953747,61.1953747
67,61.1348502,61.1348502
68,61.1606389,61.1606389
69,61.1080089,61.1080089
70,61.0153801,61.0153801
71,60.9085412,60.9085412
72,60.7264414,60.7264414
73,60.438029,60.438029
74,60.3085592,60.3085592
75,60.495922,60.495922
76,60.9422244,60.9422244
77,61.5827315,61.5827315
78,61.9148268,61.9148268
79,62.0390336,62.0390336
80,62.0500859,62.0500859
81,62.1369254,62.1369254
82,62.3437613,62.3437613
