,domestic,commercial
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.000616643,0.000616643
9,0.017915617,0.017915617
10,0.031527174,0.031527174
11,0.024729932,0.024729932
12,0.035202054,0.035202054
13,0.030945045,0.030945045
14,0.023703629,0.023703629
15,0.006284269,0.006284269
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0.009079914,0.009079914
33,0.13393974,0.13393974
34,0.272709939,0.272709939
35,0.33770543,0.33770543
36,0.362057802,0.362057802
37,0.311085725,0.311085725
38,0.21124187,0.21124187
39,0.04805013,0.04805013
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0.002455162,0.002455162
57,0.101354743,0.101354743
58,0.258231726,0.258231726
59,0.234636034,0.234636034
60,0.043909572,0.043909572
61,0.046159309,0.046159309
62,0.100957198,0.100957198
63,0.031423298,0.031423298
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0.001241002,0.001241002
81,0.026718878,0.026718878
82,0.04987543,0.04987543
83,0.071901109,0.071901109
84,0.033770217,0.033770217
85,0.04313776,0.04313776
86,0.02740555,0.02740555
87,0.009906372,0.009906372
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0.008229373,0.008229373
105,0.058868076,0.058868076
106,0.170741706,0.170741706
107,0.106079852,0.106079852
108,0.04266475,0.04266475
109,0.036315868,0.036315868
110,0.027371424,0.027371424
111,0.010967232,0.010967232
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0.006878597,0.006878597
129,0.120681213,0.120681213
130,0.150733029,0.150733029
131,0.311771128,0.311771128
132,0.23868673,0.23868673
133,0.147085066,0.147085066
134,0.073850528,0.073850528
135,0.058151794,0.058151794
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0.000624632,0.000624632
153,0.011261476,0.011261476
154,0.009419299,0.009419299
155,0.122861401,0.122861401
156,0.28627716,0.28627716
157,0.342966455,0.342966455
158,0.217252476,0.217252476
159,0.057846267,0.057846267
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0.014718594,0.014718594
177,0.086283612,0.086283612
178,0.222250473,0.222250473
179,0.337479619,0.337479619
180,0.329627928,0.329627928
181,0.111183923,0.111183923
182,0.162225126,0.162225126
183,0.023551433,0.023551433
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0.014206274,0.014206274
201,0.035895337,0.035895337
202,0.032714719,0.032714719
203,0.058432597,0.058432597
204,0.15717554,0.15717554
205,0.256511886,0.256511886
206,0.161115549,0.161115549
207,0.04907798,0.04907798
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0.008310718,0.008310718
225,0.074455464,0.074455464
226,0.17254578,0.17254578
227,0.345813902,0.345813902
228,0.302312702,0.302312702
229,0.263973167,0.263973167
230,0.183419301,0.183419301
231,0.041592455,0.041592455
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0.013199106,0.013199106
249,0.122487267,0.122487267
250,0.283533343,0.283533343
251,0.348487976,0.348487976
252,0.353355395,0.353355395
253,0.255915538,0.255915538
254,0.086702375,0.086702375
255,0.035876303,0.035876303
256,0.00294322,0.00294322
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0.008192016,0.008192016
273,0.076224289,0.076224289
274,0.265101409,0.265101409
275,0.316714577,0.316714577
276,0.314461803,0.314461803
277,0.309788734,0.309788734
278,0.05765962,0.05765962
279,0.030793064,0.030793064
280,0.002409732,0.002409732
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0.014988327,0.014988327
297,0.132625569,0.132625569
298,0.296586846,0.296586846
299,0.361753181,0.361753181
300,0.383834196,0.383834196
301,0.346053868,0.346053868
302,0.215528036,0.215528036
303,0.02996175,0.02996175
304,0.000605575,0.000605575
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0.121035689,0.121035689
322,0.256989033,0.256989033
323,0.346935433,0.346935433
324,0.40332255,0.40332255
325,0.354270023,0.354270023
326,0.23829502,0.23829502
327,0.070691207,0.070691207
328,0.001174772,0.001174772
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0.010532052,0.010532052
345,0.05163262,0.05163262
346,0.067992562,0.067992562
347,0.057517498,0.057517498
348,0.044520784,0.044520784
349,0.050926029,0.050926029
350,0.027048384,0.027048384
351,0.009421509,0.009421509
352,0.001254549,0.001254549
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0.004911966,0.004911966
369,0.048659921,0.048659921
370,0.260155006,0.260155006
371,0.280098357,0.280098357
372,0.308838888,0.308838888
373,0.205519843,0.205519843
374,0.150396866,0.150396866
375,0.135144128,0.135144128
376,0.014814718,0.014814718
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0.009828733,0.009828733
