Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.001,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.002,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.003,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.004,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.005,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.006,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.007,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.008,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.009,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.01,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.011,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.012,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.013,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.014,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.015,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.016,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.017,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.018,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.019,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.02,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.021,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.022,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.023,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.024,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.025,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.026,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.027,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.028,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.029,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.03,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.031,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.032,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.033,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.034,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.035,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.036,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.037,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.038,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.039,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.04,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.041,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.042,,182.42425,265.6961834,291.0141063,212.1771662,,,
