Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0,,,0,,,,,
0.001,,,1.057082838,,,,,
0.002,,,2.107663832,,,,,
0.003,,,3.151797529,,,,,
0.004,,,4.189537888,,,,,
0.005,,,5.220938284,,,,,
0.006,,,6.246051522,,,,,
0.007,,,7.264929838,,,,,
0.008,,,8.277624911,,,,,
0.009,,,9.28418787,,,,,
0.01,,,10.2846693,,,,,
0.011,,,11.27911925,,,,,
0.012,,,12.26758724,,,,,
0.013,,,13.25012227,,,,,
0.014,,,14.22677282,,,,,
0.015,,,15.19758686,,,,,
0.016,,,16.16261187,,,,,
0.017,,,17.12189483,,,,,
0.018,,,18.07548223,,,,,
0.019,,,19.02342006,,,,,
0.02,,,19.96575388,,,,,
0.021,,,20.90252873,,,,,
0.022,,,21.83378921,,,,,
0.023,,,22.75957947,,,,,
0.024,,,23.67994319,,,,,
0.025,,,24.59492361,,,,,
0.026,,,25.50456355,,,,,
0.027,,,26.40890536,,,,,
0.028,,,27.30799098,,,,,
0.029,,,28.20186193,,,,,
0.03,,,29.09055931,,,,,
0.031,,,29.97412379,,,,,
0.032,,,30.85259567,,,,,
0.033,,,31.7260148,,,,,
0.034,,,32.59442066,,,,,
0.035,,,33.45785234,,,,,
0.036,,,34.31634853,,,,,
0.037,,,35.16994755,,,,,
0.038,,,36.01868732,,,,,
0.039,,,36.86260542,,,,,
0.04,,,37.70173902,,,,,
0.041,,,38.53612497,,,,,
0.042,,,39.36579973,,,,,
0.043,,,40.1907994,,,,,
0.044,,,41.01115976,,,,,
0.045,,,41.82691622,,,,,
0.046,,,42.63810384,,,,,
0.047,,,43.44475737,,,,,
0.048,,,44.24691121,,,,,
0.049,,,45.04459942,,,,,
0.05,,,45.83785575,,,,,
0.051,,,46.62671362,,,,,
0.052,,,47.41120613,,,,,
0.053,,,48.19136607,,,,,
0.054,,,48.96722592,,,,,
0.055,,,49.73881785,,,,,
0.056,,,50.50617373,,,,,
0.057,,,51.26932512,,,,,
0.058,,,52.0283033,,,,,
0.059,,,52.78313925,,,,,
0.06,,,53.53386364,,,,,
0.061,,,54.28050689,,,,,
0.062,,,55.02309912,,,,,
0.063,,,55.76167016,,,,,
0.064,,,56.49624959,,,,,
0.065,,,57.2268667,,,,,
0.066,,,57.9535505,,,,,
0.067,,,58.67632975,,,,,
0.068,,,59.39523296,,,,,
0.069,,,60.11028834,,,,,
0.07,,,60.82152388,,,,,
0.071,,,61.5289673,,,,,
0.072,,,62.23264606,,,,,
0.073,,,62.93258739,,,,,
0.074,,,63.62881827,,,,,
0.075,,,64.32136541,,,,,
0.076,,,65.01025533,,,,,
0.077,,,65.69551426,,,,,
0.078,,,66.37716823,,,,,
0.079,,,67.05524303,,,,,
0.08,,,67.72976422,,,,,
0.081,,,68.40075713,,,,,
0.082,,,69.06824685,,,,,
0.083,,,69.73225829,,,,,
0.084,,,70.3928161,,,,,
0.085,,,71.04994474,,,,,
0.086,,,71.70366843,,,,,
0.087,,,72.3540112,,,,,
0.088,,,73.00099686,,,,,
0.089,,,73.64464901,,,,,
0.09,,,74.28499106,,,,,
0.091,,,74.9220462,,,,,
0.092,,,75.55583742,,,,,
0.093,,,76.18638753,,,,,
0.094,,,76.81371912,,,,,
0.095,,,77.4378546,,,,,
0.096,,,78.05881619,,,,,
0.097,,,78.67662591,,,,,
0.098,,,79.29130559,,,,,
0.099,,,79.90287688,,,,,
0.1,,,80.51136127,,,,,
0.101,,,81.11678001,,,,,
0.102,,,81.71915423,,,,,
0.103,,,82.31850485,,,,,
0.104,,,82.91485262,,,,,
0.105,,,83.50821811,,,,,
0.106,,,84.09862173,,,,,
0.107,,,84.68608372,,,,,
0.108,,,85.27062413,,,,,
0.109,,,85.85226286,,,,,
0.11,,,86.43101966,,,,,
0.111,,,87.00691407,,,,,
0.112,,,87.57996552,,,,,
0.113,,,88.15019325,,,,,
0.114,,,88.71761635,,,,,
0.115,,,89.28225374,,,,,
0.116,,,89.84412421,,,,,
0.117,,,90.40324639,,,,,
0.118,,,90.95963873,,,,,
0.119,,,91.51331956,,,,,
0.12,,,92.06430706,,,,,
0.121,,,92.61261925,,,,,
0.122,,,93.15827401,,,,,
0.123,,,93.70128907,,,,,
0.124,,,94.24168204,,,,,
0.125,,,94.77947034,,,,,
0.126,,,95.31467131,,,,,
0.127,,,95.84730211,,,,,
0.128,,,96.37737979,,,,,
0.129,,,96.90492123,,,,,
0.13,,,97.4299432,,,,,
0.131,,,97.95246235,,,,,
0.132,,,98.47249517,,,,,
0.133,,,98.99005803,,,,,
0.134,,,99.50516718,,,,,
0.135,,,100.0178387,,,,,
0.136,,,100.5280887,,,,,
0.137,,,101.0359329,,,,,
0.138,,,101.5413871,,,,,
0.139,,,102.0444669,,,,,
0.14,,,102.5451878,,,,,
0.141,,,103.0435652,,,,,
0.142,,,103.5396144,,,,,
0.143,,,104.0333504,,,,,
0.144,,,104.5247883,,,,,
0.145,,,105.0139431,,,,,
0.146,,,105.5008295,,,,,
0.147,,,105.9854621,,,,,
0.148,,,106.4678556,,,,,
0.149,,,106.9480245,,,,,
0.15,,,107.425983,,,,,
0.151,,,107.9017453,,,,,
0.152,,,108.3753258,,,,,
0.153,,,108.8467383,,,,,
0.154,,,109.3159967,,,,,
0.155,,,109.7831149,,,,,
0.156,,,110.2481067,,,,,
0.157,,,110.7109855,,,,,
0.158,,,111.171765,,,,,
0.159,,,111.6304584,,,,,
0.16,,,112.0870792,,,,,
0.161,,,112.5416406,,,,,
0.162,,,112.9941555,,,,,
0.163,,,113.4446371,,,,,
0.164,,,113.8930983,,,,,
0.165,,,114.3395519,,,,,
0.166,,,114.7840105,,,,,
0.167,,,115.2264869,,,,,
0.168,,,115.6669936,,,,,
0.169,,,116.1055431,,,,,
0.17,,,116.5421476,,,,,
0.171,,,116.9768195,,,,,
0.172,,,117.409571,,,,,
0.173,,,117.8404141,,,,,
0.174,,,118.2693608,,,,,
0.175,,,118.6964231,,,,,
0.176,,,119.1216128,,,,,
0.177,,,119.5449416,,,,,
0.178,,,119.9664213,,,,,
0.179,,,120.3860633,,,,,
0.18,,,120.8038792,,,,,
0.181,,,121.2198804,,,,,
0.182,,,121.6340783,,,,,
0.183,,,122.046484,,,,,
0.184,,,122.4571088,,,,,
0.185,,,122.8659637,,,,,
0.186,,,123.2730599,,,,,
0.187,,,123.6784082,,,,,
0.188,,,124.0820194,,,,,
0.189,,,124.4839044,,,,,
0.19,,,124.8840739,,,,,
0.191,,,125.2825386,,,,,
0.192,,,125.6793089,,,,,
0.193,,,126.0743954,,,,,
0.194,,,126.4678085,,,,,
0.195,,,126.8595586,,,,,
0.196,,,127.2496558,,,,,
0.197,,,127.6381105,,,,,
0.198,,,128.0249328,,,,,
0.199,,,128.4101327,,,,,
0.2,,,128.7937202,,,,,
0.201,,,129.1757053,,,,,
0.202,,,129.5560978,,,,,
0.203,,,129.9349075,,,,,
0.204,,,130.3121441,,,,,
0.205,,,130.6878173,,,,,
0.206,,,131.0619367,,,,,
0.207,,,131.4345119,,,,,
0.208,,,131.8055522,,,,,
0.209,,,132.1750671,,,,,
0.21,,,132.543066,,,,,
0.211,,,132.9095581,,,,,
0.212,,,133.2745526,,,,,
0.213,,,133.6380587,,,,,
0.214,,,134.0000855,,,,,
0.215,,,134.3606421,,,,,
0.216,,,134.7197373,,,,,
0.217,,,135.0773801,,,,,
0.218,,,135.4335795,,,,,
0.219,,,135.788344,,,,,
0.22,,,136.1416826,,,,,
0.221,,,136.4936039,,,,,
0.222,,,136.8441166,,,,,
0.223,,,137.1932291,,,,,
0.224,,,137.54095,,,,,
0.225,,,137.8872878,,,,,
0.226,,,138.2322509,,,,,
0.227,,,138.5758477,,,,,
0.228,,,138.9180863,,,,,
0.229,,,139.2589752,,,,,
0.23,,,139.5985224,,,,,
0.231,,,139.9367361,,,,,
0.232,,,140.2736244,,,,,
0.233,,,140.6091954,,,,,
0.234,,,140.943457,,,,,
0.235,,,141.2764171,,,,,
0.236,,,141.6080836,,,,,
0.237,,,141.9384645,,,,,
0.238,,,142.2675673,,,,,
0.239,,,142.5954,,,,,
0.24,,,142.9219702,,,,,
0.241,,,143.2472854,,,,,
0.242,,,143.5713534,,,,,
0.243,,,143.8941816,,,,,
0.244,,,144.2157776,,,,,
0.245,,,144.5361488,,,,,
0.246,,,144.8553026,,,,,
0.247,,,145.1732463,,,,,
0.248,,,145.4899873,,,,,
0.249,,,145.8055329,,,,,
0.25,,,146.1198902,,,,,
0.251,,,146.4330665,,,,,
0.252,,,146.7450688,,,,,
0.253,,,147.0559043,,,,,
0.254,,,147.3655801,,,,,
0.255,,,147.674103,,,,,
0.256,,,147.9814802,,,,,
0.257,,,148.2877185,,,,,
0.258,,,148.5928247,,,,,
0.259,,,148.8968058,,,,,
0.26,,,149.1996684,,,,,
0.261,,,149.5014195,,,,,
0.262,,,149.8020656,,,,,
0.263,,,150.1016135,,,,,
0.264,,,150.4000698,,,,,
0.265,,,150.6974411,,,,,
0.266,,,150.993734,,,,,
0.267,,,151.2889549,,,,,
0.268,,,151.5831104,,,,,
0.269,,,151.8762068,,,,,
0.27,,,152.1682506,,,,,
0.271,,,152.4592482,,,,,
0.272,,,152.7492059,,,,,
0.273,,,153.0381299,,,,,
0.274,,,153.3260266,,,,,
0.275,,,153.6129021,,,,,
0.276,,,153.8987626,,,,,
0.277,,,154.1836143,,,,,
0.278,,,154.4674632,,,,,
0.279,,,154.7503155,,,,,
