Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,384.8304714,0.935129513,6.764082663
0.001,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,384.6035376,0.935129513,6.764082663
0.002,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,384.3766038,0.935129513,6.764082663
0.003,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,384.1498502,0.935129513,6.764082663
0.004,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,383.9232768,0.935129513,6.764082663
0.005,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,383.6968837,0.935129513,6.764082663
0.006,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,383.4706707,0.935129513,6.764082663
0.007,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,383.244638,0.935129513,6.764082663
0.008,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,383.0187856,0.935129513,6.764082663
0.009,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,382.7931133,0.935129513,6.764082663
0.01,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,382.5676212,0.935129513,6.764082663
0.011,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,382.3423094,0.935129513,6.764082663
0.012,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,382.1171778,0.935129513,6.764082663
0.013,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,381.8922264,0.935129513,6.764082663
0.014,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,381.6674553,0.935129513,6.764082663
0.015,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,381.4428643,0.935129513,6.764082663
0.016,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,381.2184536,0.935129513,6.764082663
0.017,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,380.9942231,0.935129513,6.764082663
0.018,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,380.7701728,0.935129513,6.764082663
0.019,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,380.5463027,0.935129513,6.764082663
0.02,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,380.3226129,0.935129513,6.764082663
0.021,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,380.0991032,0.935129513,6.764082663
0.022,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,379.8757738,0.935129513,6.764082663
0.023,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,379.6526246,0.935129513,6.764082663
0.024,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,379.4296557,0.935129513,6.764082663
0.025,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,379.2068669,0.935129513,6.764082663
0.026,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,378.9842584,0.935129513,6.764082663
0.027,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,378.7618301,0.935129513,6.764082663
0.028,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,378.539582,0.935129513,6.764082663
0.029,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,378.3175141,0.935129513,6.764082663
0.03,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,378.0956265,0.935129513,6.764082663
0.031,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,377.873919,0.935129513,6.764082663
0.032,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,377.6523918,0.935129513,6.764082663
0.033,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,377.4310448,0.935129513,6.764082663
0.034,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,377.2098781,0.935129513,6.764082663
0.035,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,376.9888915,0.935129513,6.764082663
0.036,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,376.7680852,0.935129513,6.764082663
0.037,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,376.5474591,0.935129513,6.764082663
0.038,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,376.3270132,0.935129513,6.764082663
0.039,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,376.1067475,0.935129513,6.764082663
0.04,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,375.8866621,0.935129513,6.764082663
0.041,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,375.6667568,0.935129513,6.764082663
0.042,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,375.4470318,0.935129513,6.764082663
0.043,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,375.227487,0.935129513,6.764082663
0.044,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,375.0081225,0.935129513,6.764082663
0.045,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,374.7889381,0.935129513,6.764082663
0.046,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,374.569934,0.935129513,6.764082663
0.047,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,374.35111,0.935129513,6.764082663
0.048,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,374.1324664,0.935129513,6.764082663
0.049,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,373.9140029,0.935129513,6.764082663
0.05,21.80701408,3.041848846,0.648343461,32.33901498,24.28862162,373.6957196,0.935129513,6.764082663
